# wubi phrase dictionary (converted from rime)
# format: phrase	code	freq
至理	gcgj	753642
一马平川	gcgk	390225
玛丽	gcgm	6831435
致死	gcgq	6513694
致残	gcgq	1161741
到来	gcgu	53023058
玛瑙	gcgv	6404470
至上	gchh	16284235
到点	gchk	2184470
至此	gchx	19163764
到港	gcia	1985882
一巴掌	gcip	3197270
至深	gcip	2472423
至少	gcit	59080000
至当	gciv	238305
到时	gcjf	14695529
至日	gcjj	412070
致电	gcjn	14397647
到晚	gcjq	6960517
到哪	gckn	12213176
到岸	gcmd	1509270
五台山	gcmm	4498023
到账	gcmt	1856800
到那	gcng	29688941
至情	gcng	687115
致以	gcny	2720658
到底	gcoq	152912941
致富	gcpg	26412235
到家	gcpg	21050352
致密	gcpn	976061
到案	gcpv	943294
万物之灵	gcpv	212489
致礼	gcpy	144969
到外	gcqh	4368941
至多	gcqq	3127764
下马看花	gcra	17277
到手	gcrt	12908235
至极	gcsb	5073929
到顶	gcsd	12213176
致醉	gcsg	21149
到校	gcsu	2541929
致辞	gctd	11418823
至德	gctf	457745
到处	gcth	35547294
天马行空	gctp	4200141
亚特兰大	gcud	1906447
死对头	gcud	857901
致病	gcug	4309364
到站	gcuh	5014352
致意	gcuj	4785976
致癌	gcuk	4766117
至交	gcur	600729
至尊	gcus	27703058
至亲	gcus	1241176
至善	gcuu	1648282
致歉	gcuv	3385929
致冷	gcuw	338592
至好	gcvb	364409
到会	gcwf	4607247
致命	gcwg	23135529
致使	gcwg	18369411
五马分尸	gcwn	339585
到任	gcwt	882724
致伤	gcwt	640447
到位	gcwu	31376941
至人	gcww	658320
到货	gcwx	18965176
至今	gcwy	65236235
斑马线	gcxg	497463
至强	gcxk	2134823
至终	gcxt	2025600
至诚	gcyd	1548988
至为	gcye	1558917
致哀	gcye	426964
到齐	gcyj	2124894
万马齐喑	gcyk	235327
至高	gcym	5441317
致词	gcyn	4001552
致谢	gcyt	2392988
至於	gcyw	15887058
到访	gcyy	11220235
表达式	gdaa	3177411
天工	gdaa	1628423
环节	gdab	35448000
环靶	gdaf	13702
天葬	gdag	585835
蚕茧	gdaj	1380188
亚太区	gdar	2770305
天花	gdaw	4488094
天子	gdbb	10227294
下不了台	gdbc	124117
天阴	gdbe	743712
天际	gdbf	7059811
环卫	gdbg	3614305
麦克阿瑟	gdbg	624560
天职	gdbk	1211388
来不了	gdbn	1032658
天降	gdbt	4190211
天险	gdbw	544131
来不及	gdby	27107294
蚕桑	gdcc	843007
再不能	gdce	1261035
天骄	gdcg	7427200
天马	gdcg	4597317
天台	gdck	4488094
天碟	gdda	1280894
环顾	gddb	2968894
来而不往非礼也	gddb	48455
天大	gddd	1975952
更有甚者	gddf	2611435
麦克斯韦	gddf	221425
再而三	gddg	1707858
一页页	gddm	2492282
五大三粗	gddo	295896
两面三刀	gddv	323698
青春期	gddw	15390588
天龙	gddx	12511058
一成不变	gddy	3385929
吞服	gdeb	407105
环县	gdeg	1151811
天边	gdep	6821505
下大力气	gder	1310682
天地	gdfb	281002352
环城	gdfd	2780235
亘古未有	gdfd	83109
来龙去脉	gdfe	1995811
天坛	gdff	5719341
素面朝天	gdfg	1022729
天干	gdfg	810240
天真	gdfh	23234823
天井	gdfj	12908235
天朝	gdfj	2253976
一大块	gdfn	568955
天元	gdfq	18667294
天才	gdft	43888000
环境	gdfu	263129411
一大堆	gdfw	2889458
万寿无疆	gdfx	340578
天壤	gdfy	2432705
环形	gdga	2392988
天天	gdgd	101280000
互帮互助	gdge	820169
环球	gdgg	39022588
天王	gdgg	17773647
天下	gdgh	251214117
吞下	gdgh	4001552
天理	gdgj	4795905
蚕豆	gdgk	2234117
两码事	gdgk	779458
一而再	gdgm	1787294
吞灭	gdgo	141990
一百万	gdgq	4229929
恶有恶报	gdgr	350508
王码五笔	gdgt	676192
天平	gdgu	12908235
下不来	gdgu	984997
天上	gdhh	33462117
表面上	gdhh	14695529
形而上	gdhh	1439764
画龙点睛	gdhh	1280894
死不瞑目	gdhh	1171670
一大步	gdhh	864851
形而上学	gdhi	2025600
麦克卢汉	gdhi	91549
天眼	gdhv	6603058
天池	gdib	3157552
天波	gdib	388240
天涯	gdid	38128941
天光	gdig	2154682
弄不清	gdig	537181
天水	gdii	7814447
一石激起千层浪	gdii	806268
正大光明	gdij	892654
一不小心	gdin	7844235
天堂	gdip	121138823
两面派	gdir	655341
天河	gdis	14794823
环海	gdit	795345
天渊	gdit	386254
天津	gdiv	185680000
吞没	gdiw	1697929
五大洲	gdiy	1112094
环流	gdiy	1062447
环游	gdiy	800310
蚕蛹	gdjc	347529
天明	gdje	3693741
天时	gdjf	5798776
天晴	gdjg	5083858
天量	gdjg	1310682
一大早	gdjh	6752000
天蝎	gdjj	3306494
蚕蛾	gdjt	114188
天呀	gdka	1995811
天啊	gdkb	11220235
吞吐	gdkf	4100847
天足	gdkh	268094
吞咽	gdkl	1707858
天哪	gdkn	11120941
吞噬	gdkt	6990305
天黑	gdlf	8152047
天国	gdlg	20454588
天车	gdlg	1558917
天堑	gdlr	525265
平面图	gdlt	2412847
亚历山大	gdmd	3505082
天赋	gdmg	8876894
死胡同	gdmg	566969
天赐	gdmj	4865411
天山	gdmm	13106823
环山	gdmm	859887
天网	gdmr	5461176
天内	gdmw	35944470
一厢情愿	gdnd	2253976
下基层	gdnf	1002870
蚕眉	gdnh	74669
天书	gdnn	2919247
天不怕	gdnr	977054
天性	gdnt	8281129
正确性	gdnt	5878211
两面性	gdnt	1449694
两大类	gdod	2541929
天火	gdoo	951237
环烷	gdop	190644
天麻	gdos	1668141
天灯	gdos	323698
天庭	gdot	1390117
天数	gdov	8161976
天府	gdow	5987435
天寒	gdpa	1777364
蚕农	gdpe	312776
天宇	gdpg	3941976
现在完成时	gdpj	247242
天宫	gdpk	2313552
天灾	gdpo	5054070
一面之交	gdpu	189651
天安	gdpv	1817082
天空	gdpw	130075294
天窗	gdpw	5768988
一面之缘	gdpx	887689
天神	gdpy	11021647
环视	gdpy	1995811
青面獠牙	gdqa	68115
天色	gdqc	10922352
天然	gdqd	75066352
珠三角	gdqe	13801882
天外	gdqh	14000470
天象	gdqk	1618494
一不留神	gdqp	2124894
天狗	gdqt	3236988
球面镜	gdqu	381289
平面镜	gdqu	227383
天煞	gdqv	1509270
一大把	gdrc	766550
天授	gdre	256178
天质	gdrf	108230
天皇	gdrg	11319529
环抱	gdrq	2412847
天气	gdrt	108230588
天热	gdrv	1737647
一大批	gdrx	8747811
天极	gdsb	20355294
天顶	gdsd	544131
亚硝酸	gdsg	1181600
天桥	gdst	7159105
天梯	gdsu	1906447
天机	gdsw	6473976
素不相识	gdsy	1211388
天长	gdta	5064000
副厂长	gdta	964145
殊不知	gdtd	3693741
天敌	gdtd	1648282
天竺	gdtf	3366070
天生	gdtg	30185411
天年	gdtg	1082305
万古长青	gdtg	181708
一大片	gdth	3932047
青春年少	gdti	912512
来不得	gdtj	465689
表面积	gdtk	950244
万不得已	gdtn	1261035
死灰复燃	gdto	2005741
天鹅	gdtr	9869835
天籁	gdts	16979294
天条	gdts	387247
死而复生	gdtt	486541
吞并	gdua	2532000
环状	gdud	1171670
青春痘	gdug	4071058
一大半	gdug	2273835
到达站	gduh	234334
天意	gduj	6364752
天问	gduk	1181600
事不关己	gdun	772508
天资	gduq	2740517
天尊	gdus	2015670
天道	gdut	5550541
天冷	gduw	3276705
天门	gduy	6543482
一大群	gdvt	2859670
天女	gdvv	3276705
天公	gdwc	2988752
死有余辜	gdwd	434908
天使	gdwg	122131764
天命	gdwg	4388800
天候	gdwh	10425882
环保	gdwk	98797647
天保	gdwk	1688000
天仙	gdwm	5987435
麦克风	gdwr	8807388
天父	gdwr	1012800
天体	gdws	8310917
天龙八部	gdwu	3336282
天分	gdwv	2839811
天人	gdww	8588941
天价	gdww	7913741
天伦	gdww	2234117
平面几何	gdww	191637
表面化	gdwx	863858
吞食	gdwy	6056941
蚕食	gdwy	1995811
事在人为	gdwy	505407
环绕	gdxa	15688470
万有引力	gdxe	1032658
天线	gdxg	20057411
蚕丝	gdxx	2025600
天主	gdyg	1052517
两不误	gdyk	2581647
天谴	gdyk	516329
天高	gdym	4875341
天启	gdyn	584842
天亮	gdyp	15688470
与其说	gdyu	4458305
天帝	gdyu	1102164
表面文章	gdyu	780451
天良	gdyv	1102164
下不为例	gdyw	455760
天文	gdyy	19362352
青藏	geaa	7030023
青工	geaa	680164
青苔	geac	1370258
逐项	gead	1479482
青菜	geae	6265458
表功	geae	199581
青蒜	geaf	296889
静卧	geah	331642
青萍	geai	130075
青草	geaj	6166164
青莲	geal	826127
青黄	geam	1072376
青葱	geaq	1449694
环肥燕瘦	geau	165821
青蒿	geay	413063
一肚子	gebb	2770305
逐出	gebm	2095105
表皮	gebn	3941976
一肚子气	gebr	106244
青联	gebu	824141
瑶台	geck	609665
静观	gecm	2114964
静物	gecq	3852611
青石	gedg	2432705
表面	gedl	68612235
青灰	gedo	339585
表达	gedp	62952470
一毛不拔	gedr	438880
青帮	gedt	195609
青春	gedw	106244705
青龙	gedx	5461176
静态	gedy	14099764
表态	gedy	10028705
逐月	geee	1956094
表舅	geel	110216
一股脑儿	geeq	151920
一股股	geew	1558917
静脉	geey	8489647
一股脑	geey	350508
青云	gefc	6285317
表土	geff	800310
表示	gefi	1330541176
表露	gefk	4011482
表壳	gefp	479590
表形	gega	398169
五边形	gega	159863
青天	gegd	4994494
静静	gege	27802352
青青	gege	12908235
万用表	gege	2591576
致力于	gegf	24724235
求助于	gegf	1697929
逐一	gegg	7119388
表带	gegk	1122023
表现	gegm	154898823
更胜一筹	gegt	1012800
青玉	gegy	914498
青睐	gehg	16184941
逐步	gehh	102272941
静止	gehh	8440000
逐点	gehk	264122
青眼	gehv	512357
瑶池	geib	473632
静水	geii	858894
逐渐	geil	63349647
表演	geip	52725176
青浦	geis	4617176
青海	geit	70995294
青涩	geiv	4845552
逐浪	geiy	1509270
表明	geje	111209411
青蛙	gejf	16482823
表里	gejf	2800094
青虾	gejg	281995
逐日	gejj	1777364
静电	gejn	14894117
青蛇	gejp	1449694
青果	gejs	1231247
靓照	gejv	7476847
靓号	gekg	2005741
表兄	gekq	626545
静听	gekr	5143435
青史	gekr	1102164
静默	gelf	1926305
靓车	gelg	3554729
静思	geln	1956094
亚力山大	gemd	61760
青山	gemm	44086588
青贮	gemp	789388
青峰	gemt	747684
表内	gemw	860880
表层	genf	3177411
逐层	genf	1122023
表情	geng	230362352
静心	geny	2819952
青翠	geny	1449694
麦乳精	geog	108230
青烟	geol	1201458
青灯	geos	783430
下脚料	geou	472640
逐鹿	geox	4080988
逐字	gepb	623567
表字	gepb	392211
青冢	gepg	55108
静寂	geph	3088047
逐客	gept	252207
青衫	gepu	967124
静安	gepv	7635717
青色	geqc	18667294
青鱼	geqg	404127
表象	geqk	3227058
表链	geql	173764
青岛	geqm	95719529
青铜	geqm	13404705
青瓜	gerc	898611
表扬	gern	17078588
表白	gerr	9065552
青白	gerr	952230
两肋插刀	gerv	919463
一脉相承	gesb	1082305
开采权	gesc	504414
青椒	gesh	2631294
表相	gesh	502428
表哥	gesk	3028470
青楼	geso	1578776
表格	gest	46271058
青梅	gest	6543482
青松	gesw	2283764
表述	gesy	9025835
副县长	geta	1489411
青筋	gete	1747576
表笔	gete	123124
静待	getf	1400047
青年	getg	125110588
逐年	getg	8668376
表征	getg	1539058
逐行	getg	886696
青竹	geth	1558917
逐臭	geth	118160
逐利	getj	1290823
青稞	getj	654348
静脉血	getl	389232
静穆	getr	375331
逐条	gets	969110
五脏六腑	geue	940315
青壮	geuf	144969
静养	geug	658320
表单	geuj	51732235
表彰	geuj	19362352
静音	geuj	5153364
表决	geun	6493835
逐次	geuq	1926305
青瓷	geuq	841021
表亲	geus	264122
静立	geuu	958188
靓妆	geuv	1102164
表弟	geux	2164611
表姐	geve	2144752
表妹	gevf	4498023
靓妹	gevf	3177411
静如	gevk	754635
表姊	gevt	734776
靓女	gevv	6622917
青黛	gewa	378310
靓仔	gewb	1747576
互助会	gewf	1151811
一边倒	gewg	888682
逐个	gewh	5719341
静候	gewh	1390117
静坐	geww	5391670
一月份	geww	2502211
五月份	geww	2313552
逐级	gexb	2541929
互助组	gexe	260150
青绿	gexv	1191529
五彩缤纷	gexx	2631294
青丝	gexx	1618494
青衣	geye	4100847
表语	geyg	412070
静谧	geyn	2869600
瑶族	geyt	2174541
静夜	geyw	1469552
表率	geyx	4805835
烈士墓	gfaj	782437
玩艺	gfan	1449694
曹雪芹	gfar	614630
五十七分	gfaw	23532
事无巨细	gfax	620588
玩出	gfbm	1678070
一走了之	gfbp	1499341
环境卫生	gfbt	3336282
玩物	gfcq	3812894
玩友	gfdc	1191529
一动不动	gfdf	4607247
一二三	gfdg	8052752
一直在	gfdh	41802823
一塌胡涂	gfdi	125110
一声不响	gfdk	970103
一声不吭	gfdk	372352
一去不回	gfdl	639454
玩耍	gfdm	13007529
来者不拒	gfdr	949251
万劫不复	gfdt	1032658
来者不善	gfdu	404127
五十三分	gfdw	157877
带动力	gfen	790381
一支支	gffc	703002
青云直上	gffh	277030
一场场	gffn	1807152
玩过	gffp	6573270
两者都	gfft	714917
事过境迁	gfft	473632
天南地北	gffu	4359011
一干二净	gffu	501435
玩雪	gffv	767543
一堆堆	gffw	934357
玩弄	gfga	7268329
玩到	gfgc	5322164
天地万物	gfgc	575905
五十一	gfgg	2293694
王老五	gfgg	1787294
更进一步	gfgh	5570400
五十万	gfgq	3157552
一朝一夕	gfgq	1678070
万无一失	gfgt	2065317
平起平坐	gfgw	1102164
青霉素	gfgx	1817082
珐琅	gfgy	624560
于上	gfhh	7625788
一起上	gfhh	3663952
玩具	gfhw	139011764
于此	gfhx	12312470
玩法	gfif	7774729
死去活来	gfig	1717788
玩兴	gfig	119152
环境污染	gfii	6265458
环境学	gfip	894640
玩赏	gfip	495477
天南海北	gfiu	1400047
于是	gfjg	121138823
一无是处	gfjt	1787294
玩味	gfkf	2621364
下坡路	gfkh	1400047
玩转	gflf	13007529
五十四	gflh	2958964
迂回	gflk	3445505
五雷轰顶	gfls	330649
五十四分	gflw	19064
于民	gfna	2333411
一霎那	gfng	686122
于己	gfnn	843007
于心	gfny	4785976
一塌糊涂	gfoi	8708094
天真烂漫	gfoi	745698
一支烟	gfol	2392988
残垣断壁	gfon	609665
玩火	gfoo	1290823
平均数	gfov	1171670
迂腐	gfow	962160
一墙之隔	gfpb	1161741
玩家	gfpg	70796705
天壤之别	gfpk	1747576
一场空	gfpw	1300752
一专多能	gfqc	405120
一块钱	gfqg	1985882
来去匆匆	gfqq	730804
玩忽	gfqr	3276705
一块儿	gfqt	3564658
瑞雪兆丰年	gfqt	495477
一无所获	gfra	1697929
一无所有	gfrd	4557600
副教授	gfre	13901176
开场白	gfrr	2214258
一起抓	gfrr	394197
一无所知	gfrt	4339152
理直气壮	gfru	3395858
平均利润	gfti	1002870
政协委员	gftk	5361882
玩乐	gftn	17872941
玩笑	gftt	22539764
于前	gfue	4239858
玩着	gfuh	1489411
迂阔	gfui	75662
玩意	gfuj	14496941
班干部	gfuk	913505
五十六	gfuy	3524941
玩好	gfvb	4478164
五十九	gfvt	2790164
五十九分	gfvw	39121
平均值	gfwf	4865411
亚运会	gfwf	1737647
玩命	gfwg	2224188
一声令下	gfwg	1539058
玩偶	gfwj	6980376
一鼓作气	gfwr	976061
五十八	gfwt	2680941
玩伴	gfwu	2869600
平均分	gfwv	4517882
五十分	gfwv	1032658
五十八分	gfww	65335
于今	gfwy	1072376
再教育	gfyc	1052517
开封市	gfym	2710729
晋城市	gfym	1449694
天地良心	gfyn	582856
画地为牢	gfyp	323698
列支敦士登	gfyw	1270964
责无旁贷	gfyw	978047
平均率	gfyx	66229
平均主义	gfyy	506400
一式	ggaa	7367623
一节	ggab	15787764
五一节	ggab	1747576
球茎	ggac	281002
一项	ggad	59675764
球鞋	ggaf	4309364
玻璃幕墙	ggaf	873788
五七	ggag	2988752
一幕	ggaj	19064470
球菌	ggal	2829882
一世	ggan	17277176
球艺	ggan	382282
王莹	ggap	448809
一匹	ggaq	7377552
一切	ggav	357458823
一共	ggaw	17575058
玫瑰花	ggaw	9303858
王子	ggbb	56498352
一下子	ggbb	29391058
夫子	ggbb	8787529
一聚	ggbc	1906447
王孙	ggbi	592785
一隅	ggbj	4011482
一阵	ggbl	40015529
表现出	ggbm	18865882
一出	ggbm	11915294
一院	ggbp	2035529
球队	ggbw	18667294
一队	ggbw	5262588
一双	ggcc	24327058
一通	ggce	9214494
万事通	ggce	1747576
一对	ggcf	36838117
一马	ggcg	2720658
一台	ggck	42696470
五台	ggck	2085176
球台	ggck	430936
一物	ggcq	3753317
一碟	ggda	1916376
王码	ggdc	856908
五大	ggdd	72385411
一大	ggdd	64441882
一套	ggdd	59973647
一有	ggde	12014588
万事大吉	ggdf	1032658
事与愿违	ggdf	691087
天下大事	ggdg	1876658
天下太平	ggdg	964145
到现在	ggdh	64640470
璀璨夺目	ggdh	277030
一百	ggdj	41703529
五百	ggdj	12610352
一面	ggdl	49349176
球面	ggdl	2075247
一页	ggdm	395190588
一碗	ggdp	8767670
一克	ggdq	670235
一帮	ggdt	7357694
天下大乱	ggdt	1042588
一碰	ggdu	4507952
珊瑚礁	ggdw	1866729
一丈	ggdy	3376000
一月	ggee	101280000
五月	ggee	49349176
一脚	ggef	13603294
一甩	ggen	3127764
表现力	ggen	2581647
五脏	ggeo	2819952
一边	ggep	57491294
一腔	ggep	1757505
五彩	gges	9432941
一股	ggew	28497411
一脸	ggew	19362352
一脉	ggey	4160423
一截	ggfa	2551858
一支	ggfc	39717647
一动	ggfc	13801882
一去	ggfc	8797458
天下无双	ggfc	3485223
一事无成	ggfd	1330541
一款	ggff	39519058
一封	ggff	26610823
球坛	ggff	167807
五十	ggfg	63349647
一二	ggfg	24327058
一十	ggfg	8251341
一起	ggfh	529237647
一直	ggfh	292917647
一趟	ggfh	14496941
王朝	ggfj	15489882
严正声明	ggfj	4110776
一朝	ggfj	3654023
一声	ggfn	111209411
一场	ggfn	70002352
一块	ggfn	56696941
球场	ggfn	24624941
琴声	ggfn	2174541
于事无补	ggfp	781444
王勃	ggfp	464696
一元	ggfq	19461647
一无	ggfq	7466917
王者	ggft	35646588
一堆	ggfw	20851764
一盏	ggga	6066870
球形	ggga	4646964
一开	ggga	4468235
一顿	gggb	20256000
一击	gggb	10624470
一致	gggc	141990588
一天	gggd	270080000
五天	gggd	12113882
一天天	gggd	5222870
一表	ggge	1638352
一五一十	gggf	1151811
一一	gggg	40313411
五一	gggg	33958588
琵琶	gggg	13305411
瑟瑟	gggg	2780235
一下	gggh	427957647
一天到晚	gggj	4696611
五更	gggj	1211388
一副	gggk	27206588
一带	gggk	15986352
一事	gggk	13901176
一两	gggm	19064470
一再	gggm	18369411
琉璃瓦	gggn	935350
玻璃瓦	gggn	42795
天下一家	gggp	130075
一万	gggq	26710117
五万	gggq	8003105
一列	gggq	4994494
一来	gggu	23135529
静下来	gggu	1380188
夫妻	gggv	91350588
五毒	gggx	1022729
一斑	gggy	3951905
一瞬	gghe	21348235
一睹	gghf	3316423
一步	gghh	106244705
下一步	gghh	21844705
一桌	gghj	4210070
球桌	gghj	289938
一点	gghk	234334117
五点	gghk	6752000
一餐	gghq	3018541
一眨	gght	1499341
万事具备	gght	312776
一眼	gghv	47760470
一具	gghw	1330541
死于非命	gghw	715910
一些	gghx	698037647
一江	ggia	2909317
珍珠港	ggia	1757505
一滩	ggic	1767435
五湖	ggid	1310682
王法	ggif	748677
一举	ggig	15986352
琳琅满目	ggih	3177411
平平淡淡	ggii	4637035
一堂	ggip	13404705
一觉	ggip	4130635
一溜	ggiq	2194400
一派	ggir	10823058
一潭	ggis	1062447
一瞥	ggit	4785976
一省	ggit	2095105
一流	ggiy	47164705
一滴	ggiy	17078588
五洲	ggiy	4359011
王明	ggje	912512
一时	ggjf	41703529
一旦	ggjg	86286588
一早	ggjh	10227294
一晃	ggji	5481035
一日	ggjj	81123294
五日	ggjj	12511058
一遇	ggjm	6801647
两天晒网	ggjm	367388
一晚	ggjq	11716705
一颗	ggjs	33760000
一览	ggjt	37731764
五星	ggjt	20256000
球星	ggjt	18766588
天王星	ggjt	1290823
玲珑剔透	ggjt	539167
事到临头	ggju	76257
一别	ggke	2730588
一味	ggkf	16383529
一叶	ggkf	5689552
五味	ggkf	4934917
一号	ggkg	22837647
五号	ggkg	13702588
一吨	ggkg	1241176
一路	ggkh	57789176
一口	ggkk	118160000
吞吞吐吐	ggkk	1658211
球员	ggkm	19362352
一员	ggkm	7874023
一吹	ggkq	1966023
一听	ggkr	17475764
一响	ggkt	2273835
一只	ggkw	74172705
一团	gglf	10823058
一辆	gglg	28894588
王国	gglg	27008000
末班车	gglg	1231247
五四	gglh	9284000
一回	gglk	50242823
一连	gglp	5818635
一圈	gglu	13603294
一轮	gglw	23234823
一曲	ggma	10326588
一周	ggmf	83903529
一同	ggmg	49150588
一幅	ggmh	17177882
严刑峻法	ggmi	174757
一则	ggmj	11716705
一册	ggmm	5272517
武夷山	ggmm	3971764
一见	ggmq	18667294
一岁	ggmq	9730823
球网	ggmr	1330541
五内	ggmw	390225
王丹	ggmy	1112094
一展	ggna	3306494
一层	ggnf	31178352
开天辟地	ggnf	823148
一收	ggnh	2025600
一愣	ggnl	5302305
五届	ggnm	18270117
一届	ggnm	16582117
一书	ggnn	8042823
一局	ggnn	3683811
一己	ggnn	2114964
瑟瑟发抖	ggnr	2025600
一改	ggnt	6861223
一发	ggnt	6712282
一致性	ggnt	4080988
一心	ggny	15291294
一度	ggoa	86981647
一类	ggod	17972235
球类	ggod	3654023
球迷	ggop	30185411
一炮	ggoq	2740517
琢磨	ggos	17475764
一粒	ggou	10128000
一数	ggov	1608564
一座	ggow	68215058
王府	ggow	17078588
一米	ggoy	7645647
球赛	ggpa	4349082
一字	ggpb	12014588
王冠	ggpf	3713600
一定	ggpg	439872941
一家	ggpg	145962352
王室	ggpg	3157552
一审	ggpj	6116517
王宫	ggpk	1846870
正规军	ggpl	1191529
五官	ggpn	10028705
严严实实	ggpp	2234117
平平安安	ggpp	1866729
王夫之	ggpp	354480
亚平宁	ggps	652362
替补	ggpu	10128000
一空	ggpw	6096658
玻璃窗	ggpw	2750447
一窝	ggpw	1270964
一色	ggqc	9571952
五色	ggqc	4686682
玫瑰色	ggqc	1062447
一角	ggqe	14993411
五旬	ggqj	1042588
一句	ggqk	121138823
刑事犯罪	ggql	1400047
玻璃钢	ggqm	4627105
一顿饭	ggqn	4666823
五金	ggqq	94230117
形形色色	ggqq	4239858
死刑犯	ggqt	769529
琴键	ggqv	598743
至理名言	ggqy	1181600
一摸	ggra	3971764
一把	ggrc	51434352
一摇	ggre	1688000
球技	ggrf	4766117
王后	ggrg	1707858
一排	ggrh	8598870
青天白日	ggrj	666263
五岳	ggrm	1906447
一所	ggrn	17078588
一挥	ggrp	7655576
替换	ggrq	21944000
替死鬼	ggrq	517322
球拍	ggrr	2105035
一打	ggrs	3634164
一刹	ggrs	1181600
一手	ggrt	47661176
一气	ggrt	4944847
一斤	ggrt	3644094
殊死搏斗	ggru	403134
一扫	ggrv	5957647
救死扶伤	ggrw	829105
一批	ggrx	53916705
五指	ggrx	5292376
一栋	ggsa	4607247
列表框	ggsa	877760
王权	ggsc	606687
夫权	ggsc	124117
一杯	ggsd	45576000
一顶	ggsd	6612988
玻璃杯	ggsd	2293694
球棒	ggsd	534202
一枝	ggsf	12014588
球杆	ggsf	718889
一本	ggsg	53023058
一想	ggsh	15887058
一档	ggsi	2005741
一棵	ggsj	11915294
一楼	ggso	13106823
一桩	ggso	3435576
环环相扣	ggsr	1836941
一梦	ggss	3773176
一枚	ggst	23731294
一株	ggst	4567529
一样	ggsu	253200000
一根	ggsv	28199529
一概	ggsv	7198823
一枪	ggsw	5610117
歼击机	ggsw	710945
理事长	ggta	3654023
一季	ggtb	14397647
一笔	ggte	17872941
五笔	ggte	6047011
一千	ggtf	22142588
一等	ggtf	18667294
五千	ggtf	11915294
一罐	ggtf	1975952
一年	ggtg	234334117
一生	ggtg	81917647
五年	ggtg	50937882
一行	ggtg	33064941
五行	ggtg	6801647
一段	ggth	119152941
一片	ggth	99294117
一处	ggth	18766588
王牌	ggth	8708094
一秒	ggti	15092705
表现得	ggtj	15192000
一种	ggtk	207524705
一身	ggtm	63945411
一向	ggtm	29986823
替身	ggtm	2958964
一乐	ggtn	2452564
严于律己	ggtn	678178
一番	ggto	161849411
一管	ggtp	1856800
一条	ggts	180715294
开玩笑	ggtt	18270117
来来往往	ggtt	2472423
规规矩矩	ggtt	894640
一般	ggtu	715910588
一盘	ggtu	5034211
一科	ggtu	3177411
一律	ggtv	60966588
一篇	ggty	254192941
一并	ggua	11716705
玻璃瓶	ggua	3326352
一闻	ggub	1836941
一头	ggud	39717647
一关	ggud	5610117
球状	ggud	1290823
一半	ggug	67817882
一章	gguj	39320470
一间	gguj	17177882
五音	gguj	1181600
一部	gguk	136032941
一问	gguk	7754870
一端	ggum	8072611
一次	gguq	385261176
再一次	gguq	18468705
五次	gguq	14397647
一瓣	ggur	1678070
一新	ggus	7625788
一道	ggut	51533647
一首	ggut	38327529
一闪	gguw	9254211
五六	gguy	14298352
一门	gguy	8976188
球门	gguy	1767435
玻璃门	gguy	1439764
五好	ggvb	1529129
一开始	ggvc	24426352
一怒	ggvc	3634164
一如	ggvk	8340705
一刀	ggvn	12113882
王妃	ggvn	4607247
夫婿	ggvn	1042588
一群	ggvt	65534117
夫君	ggvt	2839811
万事如意	ggvu	3425647
夫妇	ggvv	17376470
事到如今	ggvw	1122023
一代	ggwa	119152941
替代	ggwa	30880470
下一代	ggwa	14000470
五代	ggwa	6136376
王公	ggwc	1558917
一会	ggwf	28298823
理事会	ggwf	7228611
一例	ggwg	9393223
一盒	ggwg	5292376
一命	ggwg	5073929
一合	ggwg	3048329
晋一剑	ggwg	1588
一个	ggwh	1042588235
下一个	ggwh	56101176
五个	ggwh	28298823
一介	ggwj	2363200
一侧	ggwm	6990305
王侯	ggwn	1112094
一伙	ggwo	3723529
王爷	ggwr	2770305
球风	ggwr	741727
一体	ggws	91648470
一朵	ggws	15787764
球体	ggws	3336282
玻璃体	ggws	463703
一件	ggwt	75960000
一任	ggwt	4805835
王八	ggwt	4359011
万事俱备	ggwt	646404
一位	ggwu	229369411
一倍	ggwu	12113882
王位	ggwu	2204329
五分	ggwv	18468705
一分	ggwv	2075247
一人	ggww	124117647
一份	ggww	86088000
夫人	ggww	44384470
五人	ggww	8926541
五谷	ggww	1956094
正规化	ggwx	1062447
王储	ggwy	753642
一级	ggxb	47959058
一经	ggxc	14000470
一组	ggxe	20256000
一线	ggxg	29192470
一贯	ggxm	17872941
一缕	ggxo	7089600
瑟缩	ggxp	590800
一纸	ggxq	4488094
玻璃纸	ggxq	406112
一张	ggxt	95918117
一弹	ggxu	2442635
一维	ggxw	1727717
王维	ggxw	1598635
一丝	ggxx	27703058
玻璃丝	ggxx	273058
一统	ggxy	6265458
琴弦	ggxy	2641223
王充	ggyc	187665
表现为	ggye	14000470
球衣	ggye	4289505
一语	ggyg	8549223
一齐	ggyj	11716705
一亩	ggyl	1985882
一市	ggym	2333411
开平市	ggym	1280894
一刻	ggyn	54512470
一遍	ggyn	29887529
一词	ggyn	6950588
一扇	ggyn	6603058
一户	ggyn	4021411
一变	ggyo	5610117
王族	ggyt	1310682
一旁	ggyu	20156705
一说	ggyu	14695529
一夜	ggyw	51831529
一方	ggyy	56696941
一言	ggyy	39816941
一文	ggyy	8281129
正式	ghaa	247242352
政工	ghaa	2402917
正巧	ghag	2760376
正邪	ghah	1558917
下落	ghai	19064470
正东	ghai	1012800
下世	ghan	522287
政区	ghar	382282
正切	ghav	270080
