# wubi phrase dictionary (converted from rime)
# format: phrase	code	freq
巧夺天工	adga	934357
苦于	adgf	3276705
若夫	adgg	201567
惹事	adgk	1668141
若再	adgm	1866729
若与	adgn	1558917
苦熬	adgq	382282
划不来	adgu	839035
惹来	adgu	804282
若非	adhd	4249788
项目	adhh	530230588
苦战	adhk	1817082
惹眼	adhv	1102164
莽汉	adic	309797
荐举	adig	149934
苦水	adii	2651152
苦学	adip	493491
苦酒	adis	615623
苦海	adit	2402917
苦涩	adiv	6394541
若是	adjg	26610823
莫不是	adjg	1141882
若遇	adjm	2402917
贡布里希	adjr	28993
苦果	adjs	2849741
苦味	adkf	2730588
苦思	adln	1658211
项圈	adlu	874781
雅斯贝尔斯	admd	57094
莱布尼茨	adna	154898
苦情	adng	7973317
项羽	adnn	1340470
莱布尼兹	adnu	140004
苦恼	adny	9869835
苦心	adny	5937788
蕨类	adod	331642
惹火	adoo	5232800
世态炎凉	adou	645411
苦寒	adpa	1648282
茂密	adpn	2939105
惹祸	adpy	1896517
茂名	adqk	5560470
项链	adql	12610352
蒙古包	adqn	655341
惹急	adqv	485548
功成名就	adqy	1102164
苦瓜	adrc	4041270
若有所思	adrl	3415717
若有所失	adrt	331642
莽撞	adru	1489411
东奔西走	adsf	631510
若想	adsh	4597317
功不可没	adsi	1975952
切不可	adsk	2462494
东奔西跑	adsk	744705
苦楚	adss	1489411
若要	adsv	19560941
苦短	adtd	1300752
若失	adtg	956202
苦处	adth	358451
惹得	adtj	3614305
苦乐	adtn	2214258
苦笑	adtt	26610823
莫斯科	adtu	10227294
功成身退	adtv	772508
苦痛	aduc	6027152
苦头	adud	2790164
戎装	aduf	561011
苦闷	adun	5749129
苦辣	adus	1122023
项背	adux	196602
惹怒	advc	1062447
萨达姆	advx	6960517
苦命	adwg	2204329
若使	adwg	453774
苦修	adwh	702009
苦大仇深	adwi	87776
工矿企业	adwo	1002870
若何	adws	496470
惹人	adww	5173223
苦练	adxa	3614305
苦读	adyf	1668141
苦衷	adyk	2551858
苦恋	adyo	1290823
英雄豪杰	adys	770522
蒙古族	adyt	1807152
若说	adyu	1846870
苏式	aeaa	691087
散工	aeaa	143976
菜苔	aeac	84300
功臣	aeah	4607247
散落	aeai	6027152
藤蔓	aeaj	1330541
藤萝	aeal	672221
菜蔬	aean	667256
功劳	aeap	6761929
苏区	aear	503421
菜花	aeaw	2184470
茄子	aebb	7744941
花架子	aebb	486541
散出	aebm	635482
散了	aebn	6434258
苏联	aebu	13603294
功能	aece	446823529
莫须有	aede	944287
散在	aedh	2700800
散布	aedm	22837647
散成	aedn	98201
雅加达	aedp	1807152
茄克	aedq	552075
苏秦	aedw	372352
散架	aeek	508385
功架	aeek	116174
功力	aeen	19362352
功用	aeet	3554729
菜地	aefb	1231247
散去	aefc	5252658
劳力士	aefg	835063
苏南	aefm	1102164
散场	aefn	1012800
功过	aefp	1231247
功耗	aefs	5093788
获胜者	aeft	395190
散开	aega	3097976
苏武	aega	435901
菜青	aege	43987
功夫	aegg	41306352
菜豆	aegk	393204
苏珊	aegm	1419905
散步	aehh	14695529
落脚点	aehk	3922117
菜点	aehk	640447
黄脸婆	aeib	856908
