# wubi char dictionary (converted from rime)
# format: char	code	freq
蒜	afi	13404705
鞘	afie	7566211
鞺	afif	21447
鞜	afij	70200
鞩	afij	17376
鞝	afik	185680
䩖	afit	3614
䒬	afiu	4190
芉	afj	79931
靼	afjg	778465
鞸	afjg	19560
鞮	afjh	41008
鞰	afjl	18071
鞨	afjn	54512
韅	afjo	26015
薹	afk	990955
䩰	afkb	3763
薣	afkc	27603
鞙	afke	84499
䓀	afkf	4488
鞓	afkg	175750
虂	afkk	37930
蘦	afkk	29093
䕒	afkk	10227
鞼	afkm	21348
䕵	afko	3753
薳	afkp	412070
䪈	afkp	3425
䪋	afkp	3395
䖅	afkw	4001
蕾	afl	50937882
鞇	afld	25022
䪅	aflj	3624
匵	aflm	26511
藚	aflm	24922
鞻	aflv	29688
贰	afm	3922117
鞅	afmd	314762
萳	afmf	79137
䩜	afmg	3356
䪎	afmk	3495
䪆	afmu	3465
靹	afmw	211496
貳	afmy	2839811
苇	afn	7476847
芌	afnb	28100
薵	afnf	35944
靵	afng	22043
䩛	afnt	3614
䓌	afnu	3991
䩲	afoc	3783
䪁	afog	3763
䕋	afok	4229
韀	afoo	32568
䩾	afoo	3435
䓇	afou	5153
鞍	afp	8122258
鞚	afpa	288945
荸	afpb	916484
䩩	afpb	4011
䩳	afpc	4349
葧	afpe	29391
䑓	afpf	5540
䩵	afpl	3495
䪀	afpn	4835
䩪	afpn	3703
芜	afq	2333411
芫	afqb	1261035
䩕	afqb	4061
䩓	afqc	4130
鞉	afqi	34057
鞄	afqn	3971764
鞠	afqo	5570400
䳬	afqo	4160
䓕	afqp	3634
鞔	afqq	122131
荺	afqu	42696
莰	afqw	84002
鞫	afqy	862865
韂	afqy	52625
靮	afqy	29490
䩚	afqy	3842
䪌	afqy	3515
靳	afr	3127764
鞞	afrf	125110
䩢	afrr	3733
鞡	afru	46568
䩝	afry	3475
藉	afs	23334117
靪	afsh	28298
䪂	afsm	3465
韆	afsp	209510
䒹	afsu	4448
藕	afsy	6900941
著	aft	175750588
䓔	aftb	3554
蓍	aftj	767543
鞒	aftj	266108
鞽	aftk	22837
䩐	aftn	4964
鞦	afto	253200
䩠	aftp	4249
䩥	aftp	3902
䩼	aftp	3356
荖	aftx	821162
鞂	afty	37433
蔷	afu	10624470
苿	afu	191637
蕔	afuc	38824
䪊	afud	3822
靽	afug	134047
鞧	afug	26511
鞛	afuk	166814
䪍	aful	3783
䕮	afuo	4656
薘	afup	542145
蓻	afuy	26710
䩮	afvi	4269
鞀	afvk	100287
䪉	afvn	3376
鞬	afvp	90357
靭	afvy	523280
靱	afvy	426964
鞎	afvy	196602
鞭	afw	18568000
鞥	afwa	51831
藝	afwc	38128941
蕶	afwc	271072
䩔	afwc	3961
䩱	afwj	3743
薔	afwk	1290823
鞈	afwk	553068
靲	afwn	24823
䩺	afwn	3435
爇	afwo	117167
䕭	afwo	4756
䩣	afws	3872
菱	afwt	17475764
靴	afwx	63349647
藿	afwy	2819952
蓺	afwy	45774
鞃	afxc	48157
靿	afxe	38625
靷	afxh	344550
䩑	afxn	4567
鞿	afxw	40809
甙	afy	1251105
鞹	afyb	31575
鞟	afyb	25617
蘾	afye	156884
䩧	afyg	3693
弍	afyi	146955
䪃	afyt	3455
䩙	afyx	3594
䩷	afyy	3366
七	ag	403134117
荆	aga	12511058
華	agag	84102117
荊	agaj	1062447
茾	agaj	26908
鷨	agao	58186
邼	agbh	24922
萅	agbj	20355
芚	agbn	72385
荎	agcf	135040
㦶	agcf	4031
菿	agcj	477604
匡	agd	6414400
菾	agdn	50937
菁	age	17872941
蕤	ageg	930385
藸	agej	370367
蓫	agep	29788
劻	aget	83109
芋	agf	10425882
䔷	aggn	4080
蔫	agh	3663952
廿	aghg	11021647
	aghg	1
艹	aghh	392211
卄	aghh	70200
芐	aghu	510371
莍	agiy	39717
蕙	agj	11319529
蓴	agjf	113195
荁	agjg	34852
莄	agjr	51037
䓊	agkf	3812
菫	agkg	1042588
蒚	agkh	24128
蘁	agkk	32767
葍	agkl	50739
䕱	agkm	3495
虉	agko	20156
荳	agku	1548988
薑	aglg	3217129
芾	agm	1539058
䒥	agmh	4200
蓸	agmj	38625
颟	agmm	172771
蔶	agmu	19064
黃	agmw	63746823
苪	agmw	46072
㔷	agmw	9293
䕻	agmx	3574
䓣	agmy	3624
匚	agn	3524941
匸	agn	295896
䒓	agnb	4021
巧	agnn	101280000
㤍	agnn	4368
䲾	agno	3385
㚽	agnv	3644
戈	agny	29490352
瓨	agny	864851
䛒	agny	3683
葬	agq	11716705
塟	agqf	108230
薤	agqg	185680
茢	agqj	31873
薚	agqr	27603
蔜	agqt	31575
薞	agqv	25022
茉	ags	2849741
廾	agt	235327
芙	agu	13404705
䔊	agua	4398
荚	agud	1380188
苹	aguf	2998682
莱	agus	117167058
萋	agv	1290823
莖	agva	1280894
葝	agve	30483
萐	agvh	42200
蕐	agwg	87676
薾	agwr	94130
荑	agx	917477
䓯	agxu	3296
弌	agyi	715910
匤	agyi	69406
牙	ah	69208000
萛	ahaj	54611
菲	ahd	59080000
匪	ahdd	16383529
韮	ahdg	586828
薉	ahdh	45178
繤	ahdi	27405
㔈	ahdj	4210
蕜	ahdn	82016
䕁	ahds	5103
蔖	aheg	23334
芷	ahf	6156235
苜	ahf	340578
䒙	ahf	4110
蘧	ahg	92144
䕎	ahgl	6295
蕋	ahhh	51732
蘋	ahhm	2105035
荹	ahhr	105251
蘃	ahhs	22837
匷	ahhy	24426
菽	ahi	930385
茮	ahiu	68016
䓬	ahjj	7814
颐	ahk	18170823
苫	ahkf	1836941
頤	ahkm	1002870
赜	ahkm	342564
賾	ahkm	89563
巸	ahkn	24922
熙	ahko	14199058
媐	ahkv	33263
㼢	ahky	5113
蘆	ahll	5947717
藘	ahln	35249
蓾	ahlo	32568
臣	ahn	21844705
孯	ahnb	22341
䢻	ahnb	3336
臤	ahnc	24327
硻	ahnd	28497
腎	ahne	5530682
㲯	ahne	3941
堅	ahnf	9820188
朢	ahng	749670
㹂	ahng	7556
䑑	ahng	4498
卧	ahnh	41802823
䁂	ahnh	6930
緊	ahni	23830588
䑐	ahni	4835
䵖	ahni	4170
蜸	ahnj	25617
㔋	ahnj	4160
臨	ahnk	7298117
監	ahnl	9075482
鹽	ahnl	8559152
盬	ahnl	71888
賢	ahnm	18568000
頣	ahnm	84201
贒	ahnm	33362
薡	ahnn	35944
煕	ahno	1310682
㷂	ahno	5917
覽	ahnq	42001411
鑒	ahnq	3822823
覧	ahnq	1380188
鋻	ahnq	257171
鍳	ahnq	28100
掔	ahnr	715910
擥	ahnr	59278
㯺	ahns	3932
豎	ahnu	2244047
竪	ahnu	491505
䝂	ahnu	4577
䜿	ahnu	4468
婜	ahnv	53519
䭆	ahnv	3773
臥	ahnw	6702352
䖙	ahnw	4200
譼	ahny	9641
㻨	ahny	4547
㽉	ahny	4031
䛗	ahny	3395
蔝	ahou	37930
莧	ahqb	837049
薒	ahqo	17972
萈	ahqy	19858
邪	ahtb	30582588
鸦	ahtg	3812894
䪵	ahtm	3654
鴉	ahto	2740517
迓	ahtp	235327
㸧	ahtv	6960
雅	ahty	140997647
萀	ahwb	29490
藈	ahwd	27901
茈	ahx	333628
䔝	ahxi	3961
䓱	ahxs	3663
㸦	ahyi	5848
东	ai	288945882
茳	aia	256178
䔐	aiaa	4785
蘫	aial	87180
菃	aian	34256
蕖	aias	219440
葓	aiaw	26015
范	aib	53618823
菠	aibu	1757505
蔢	aibv	40809
菭	aick	29192
菹	aie	204545
莦	aief	35050
萷	aiej	35944
蔆	aift	69704
萍	aig	24029176
䓑	aiga	3902
蔳	aige	25121
茪	aigq	103265
蔋	aihc	22341
莎	aiit	40512000
䓾	aiiv	3614
䕕	aijc	5093
䓠	aijf	4120
蕰	aijl	74470
蘯	aijl	58782
䔽	aijn	4637
蕩	aijr	3445505
蕅	aijy	150927
藻	aik	9403152
䕪	ailf	3753
薀	aill	433915
荡	ain	29490352
莐	aipq	40313
鸫	aiq	247242
䓋	aiqa	3316
萢	aiqn	264122
䓜	aiqy	3445
蒎	air	126103
萡	airf	35845
䓅	airj	3852
蒲	ais	13504000
薄	aisf	87676705
薸	aisi	150927
藫	aisj	24029
菏	aisk	1320611
莯	aisu	108230
蔽	ait	4577458
萿	aitd	277030
落	aitk	160856470
藩	aitl	6771858
䒚	aitr	4180
䓷	aits	3524
虌	aitx	34554
汞	aiu	3773176
䒕	aiu	4180
蓱	aiua	428950
薓	aivc	27405
蓡	aivc	23234
葏	aivg	19362
菬	aivk	32866
蒅	aivs	49647
薻	aivs	27206
莈	aiwc	403134
虃	aiwg	26908
蕍	aiwj	28596
蒤	aiws	72087
蒞	aiwu	421007
匯	aiwy	14099764
茫	aiy	3117835
蓅	aiyk	565976
薃	aiyk	29986
蒗	aiyv	643425
划	aj	176743529
蓽	ajag	77250
蕞	ajb	1251105
皵	ajby	719882
莫	ajd	95818823
鄚	ajdb	80924
募	ajde	9214494
墓	ajdf	27008000
蓦	ajdg	1052517
幕	ajdh	46171764
暮	ajdj	9849976
蟇	ajdj	136032
慕	ajdn	14298352
驀	ajdo	138018
㱳	ajdq	5888
摹	ajdr	2363200
謩	ajdy	29490
萌	aje	18071529
昔	ajf	105251764
䒤	ajf	4229
蒔	ajff	1300752
荲	ajff	40114
䓍	ajfj	3892
莳	ajfu	684136
㓚	ajh	4160
萺	ajhf	56200
草	ajj	126103529
菖	ajjf	354480
剒	ajjh	125110
蕌	ajjj	27008
蔓	ajl	6126447
蒀	ajlf	24327
勱	ajme	74470
躉	ajmh	339585
蠆	ajmj	53221
䘍	ajmj	4001
䖁	ajmn	3932
邁	ajmp	6156235
萬	ajmy	78839529
䒶	ajnt	4061
逪	ajpd	26114
葛	ajq	23731294
鹊	ajqg	2869600
鵲	ajqo	528244
䓪	ajqr	4170
斮	ajrh	75761
茰	ajru	18468
菓	ajsu	1390117
菒	ajsu	30284
蓝	ajt	279016470
葃	ajtf	69704
虄	ajtg	22142
㪚	ajty	4319
茧	aju	5351952
郾	ajv	699030
匽	ajvd	47164
鶠	ajvo	36937
㰽	ajvw	4706
䧿	ajwy	5322
菎	ajxx	49845
或	ak	1241176470
葺	akb	936343
蕺	akby	182701
䓃	akcb	3713
叵	akd	861872
戓	akd	119152
莂	akej	326677
菋	akfu	1419905
尀	akfy	29986
勤	akg	37632470
鄞	akgb	617609
䰥	akgc	4210
戜	akgd	618602
茣	akgd	37731
堇	akgf	1578776
㳼	akgi	4349
囏	akgk	31774
惑	akgn	32270588
懃	akgn	595764
戁	akgn	135040
㸐	akgo	4974
觐	akgq	421007
覲	akgq	132061
彧	akgr	1519200
斳	akgr	35845
㝻	akgt	3783
㠬	akgu	4934
艱	akgv	1390117
歎	akgw	2283764
臡	akgw	38426
歏	akgw	24029
㰲	akgw	6990
㔮	akgx	6315
難	akgy	54016000
匮	akh	848964
䕽	akhj	3534
蕗	akhk	1072376
匱	akhm	424978
蒉	akhm	108230
蕢	akhm	45973
莡	akhu	19064
颧	akk	1340470
酄	akkb	29093
鄿	akkb	21447
䕤	akkb	4587
毆	akkc	2323482
敺	akkc	213482
勸	akke	4597317
莒	akkf	2919247
匰	akkf	113195
蕇	akkf	25518
鹳	akkg	1330541
剾	akkj	50540
飌	akkj	28398
區	akkk	320720000
虈	akkk	37930
䖀	akkk	4567
䓵	akkk	3495
顴	akkm	168800
萼	akkn	1221317
蕚	akkn	50937
鷗	akko	1727717
鸛	akko	168800
觀	akkq	16979294
蘄	akkr	82215
䕾	akkt	3594
歐	akkw	34554352
歡	akkw	10227294
甌	akky	208517
雚	akky	52725
莴	akm	68016
蒷	akmu	23135
燕	aku	63945411
酀	akub	36540
㬫	akuj	4418
鷰	akuo	71293
䴏	akuo	4368
㷼	akuo	4130
嬊	akuv	28497
荶	akwn	31079
蓶	akwy	182701
苗	al	34951529
蔑	ala	1102164
蔮	alag	32767
㔴	alaw	8986
䔬	alaw	3991
蘻	albi	23830
藣	alcx	20553
茵	ald	11716705
䓢	aldf	3961
蘮	aldj	19759
蒽	aldn	727825
莮	aler	676192
薗	alfe	479590
䕉	alff	5729
薯	alfj	16681411
蓒	alfj	82612
䕸	alfk	4756
葨	alge	29986
莗	alj	26213
匣	alk	22043294
茴	alkf	716903
蘲	allf	20951
虆	alli	40909
藟	alll	114188
蘽	alls	24724
蕒	almu	40114
葸	aln	111209
莲	alp	39221176
薎	alpa	30483
鄸	alpb	29291
蘉	alpc	22936
䒐	alpc	4746
瞢	alph	161849
䠢	alph	4408
顭	alpm	844992
夢	alpq	120145882
蓮	alpu	51335058
薨	alpx	859887
甍	alpy	217454
萝	alq	5898070
鹋	alqg	89265
薥	alqj	24823
鶓	alqo	40412
蔪	alrj	27603
菌	alt	34455058
蔨	alub	15092
匦	alv	573920
蔞	alvf	130075
藪	alvt	1449694
匭	alvv	66129
蒕	alwl	21944
莔	alwm	147948
苬	alwu	27703
蔂	alxi	72683
蘿	alxy	4100847
藅	alyj	32469
贡	am	8400282
蕽	amae	19759
䒼	amaf	4190
䓦	amaw	3614
英	amd	211496470
䣐	amdb	3773
㲟	amde	4001
鶧	amdo	23036
䚆	amdq	3902
蘴	amdu	27405
蓇	amef	65434
䕧	amer	3703
苒	amf	912512
苖	amf	85690
冓	amff	68016
斠	amff	49448
䒣	amff	4220
䓟	amfk	3733
顜	amfm	28894
遘	amfp	438880
觏	amfq	119152
覯	amfq	77548
茼	amg	1221317
䔇	amgu	4140
匝	amh	2512141
繭	amhj	3018541
芇	amhj	24724
萜	amhk	665270
顢	amhm	1022729
㒼	amhy	5153
荝	amjj	28696
萴	amjj	28398
苘	amk	196602
蘡	ammv	15887
䒻	amnb	3951
萵	amnk	168800
薖	amnp	62456
慐	amnu	30185
苋	amq	428950
䒽	amrr	4031
貢	amu	3773176
菵	amun	26511
黄	amw	246249411
䵍	amwb	5421
䵏	amwe	5788
䵋	amwe	4080
斢	amwf	28993
黊	amwf	17674
䵐	amwf	5163
黈	amwg	31972
䵎	amwj	4944
黇	amwk	22539
黅	amwn	23731
鷬	amwo	25022
黆	amwq	16880
芮	amwu	4378870
䵌	amww	4557
萞	amwx	22936
䒟	amyf	3941
艺	an	70300235
苠	ana	101280
芑	anb	216461
䢹	anbh	3544
䓛	anbm	4200
巨	and	71392470
荱	aneb	85790
蔚	anf	21149647
苢	anf	33859
㓸	anfj	4378
䒖	anfj	4071
藯	anfn	61065
斲	anfr	94825
䒭	anfu	4090
䒒	angf	4656
蔬	anh	7556282
葭	anhc	1141882
葿	anhf	23731
䔫	anhm	3912
蕸	anhp	33760
荍	anht	63250
螶	anjj	23234
薜	ank	936343
葦	ankg	1975952
蘗	anks	92442
贳	anm	118160
勩	anme	481576
勚	anme	31575
貰	anmu	1131952
蕊	ann	7695294
巪	annb	163835
乬	annb	71193
蘂	anns	152912
㔵	annw	9184
迣	anpv	158870
㰥	anqw	4478
